@relation QueryResult

@attribute id numeric
@attribute PlayerName {'Johan Fransson','Fred Wikner','John Wikner','Johannes Salmonsson','Patrik Hersley','Richard Demen Willaume','Christofer Lofberg','Fredrik Pettersson','Oscar Hedman','David Fredriksson','Alexander Sundstrom','Anton Axelsson','Johan Dahlberg','Nils Backstrom','Fredrik Naslund','Morten Madsen','Emil Axelsson','Kirill Starkov','Robin Figren','Alexander Hellstrom','Tony Lagerstrom','Kim Johansson','Niclas Andersen','Dick Axelsson','Jonas Ahnelov','Anton Hedman','Daniel Rahimi','Per Johnsson','Johan Ryno','Vyacheslav Trukhno','Pasi Salonen','Aki Seitsonen','Miikka Tuomainen','Janne Kolehmainen','Marko Anttila','Valtteri Tenkanen','Risto Korhonen','Dennis Persson','Viktor Gibbs Sjodin','Juho Mielonen','Timo Seppanen','Joonas Lehtivuori','Tommi Leinonen','Jonas Enlund','Jan-Mikael Juutilainen','Robert Nyholm','Max Warn','Juuso Puustinen','Niko Snellman','Peter Aston','Marek Kvapil','Dan Bertram','Sasha Pokulok','Nathan Davis','Geoff Paukovich','Mark Mitera','Tom Fritsche','Petr Pohl','Jakub Sindel','Tomas Kudelka','Michal Birner','Karel Hromas','Zdenek Bahensky','Julien Sprunger','Juraj Gracik','Stanislav Lascek','Marek Zagrapan','Juraj Mikus','Ladislav Scurko','Kirill Lyamin','Roman Voloshenko','Mikhail Yunkov','Vyacheslav Buravchikov','Denis Bodrov','Nikolai Lemtyugov','Constantin Braun','Martin Latal','David Kveton','Tomas Marcinko','Yuri Alexandrov','Kirill Tulupov','Andrei Popov','Nigel Williams','Ryan Flynn','Kevin Montgomery','Mike Carman','Mike Ratchuk','Stefan Chaput','Ben Shutron','Francois Bouchard','Hugo Carpentier','Logan Pyett','Levi Nelson','Jean-Philippe Paquet','Adam Hobson','Chris Lawrence','Dan Collins','Jason Bailey','Kyle Lawson','Kyle Klubertanz','Dusty Collins','Nate Hagemo','Matt Auffrey','Shawn Weller','Dany Roussin','David Schulz','Andy Rogers','Kyle Wharton','John Lammers','Ryan Garlock','Evan Mcgrath','Eric Hunter','Frederik Cabana','Jean-Michel Rizk','Vitali Anikeyenko','Denis Parshin','Igor Makarov','Alexander Bumagin','Dmitri Vorobyov','Jaroslav Mrazek','Roman Psurny','Tomas Pospisil','Jakub Vojta','Ondrej Fiala','Peter Guggisberg','Ondrej Otcenas','Roman Kukumberg','Patrick Mcneill','Codey Burki','Sean Zimmerman','David Kuchejda','Anton Krysanov','Pavel Valentenko','Lukas Vantuch','Marek Bartanus','Tomas Zaborsky','Philip Gogulla','Felix Schutz','Juraj Simek','Ashton Rome','Keith Seabrook','Maxime Lacroix','John De Gray','Dan Ryder','Alex Bourret','Jay Barriball','Riley Holzapfel','Bobby Hughes','Harrison Reed','James Delory','Trevor Koverko','Ryan Pottruff','Aaron Snow','Dalyn Flatt','John Seymour','Max Gordichuk','Bobby Bolt','Devin Didiomete','Tyler Haskins','Trevor Kell','Nick Tuzzolino','Gino Pisellini','Nick Sucharski','Darin Olver','Brock Bradford','Nick Dodge','Tyler Ruegsegger','Logan Stephenson','Jason Pitton','Sergei Ogorodnikov','Mark Tobin','Eric Neilson','Clayton Barthel','Stephane Goulet','Tyler Spurgeon','Ryan Maki','Riley Emmerson','Wacey Rabbit','J.D. Watt','A.J. Thelen','T.J. Fast','Aaron Boogaard','Roman Teslyuk','Bretton Stamler','Jason Lynch','Jared Walker','Jesse Dudas','Evan Fuller','Jeff May','John Flatters','Lukas Zeliska','Mike Gauthier','Cameron Cepek','Brady Calla','Gord Baldwin','Kris Hogg','Ben Wright','Kyle Bailey','Moises Gutierrez','Dane Crowley','Jonathan Paiement','Andrew Orpik','Luke Beaverson','David Fischer','Bryce Swan','Justin Keller','Brandon Elliott','Vaclav Meidl','Pierre-Luc Lessard','Kevin Cormier','Benjamin Breault','Jean-Claude Sawyer','Jesse Martin','Sergei Kolosov','Robby Dee','Denis Kazionov','Sergei Kukushkin','Andrei Plekhanov','Justin Krueger','Kyell Henegan','Matt Marquardt','Chris Frank','Troy Mattila','Kevin Koopman','Joey Ryan','Simon Danis-Pepin','Ryan Hillier','John Armstrong','Ryan Turek','Kyle Medvec','T.J. Miller','Luke Lynes','David Meckler','Cody Wild','Viktor Alexandrov','Denis Kulyash','Shea Guthrie','Chad Denny','Chris Durand','Andrew Kozek','Myles Stoesz','Josh Beaulieu','Ryan Mcginnis','Tony Romano','Mathieu Aubin','Jon Gleed','Joe Barnes','Julian Walker','Mitch Carefoot','Kevin Schaeffer','Bret Nasby','Viktor Dovgan','Gennadi Stolyarov','Jan Steber','Stanislav Balan','Bruce Graham','Jim Mckenzie','Dylan Hunter','Chris Hickey','J.D. Corbin','Matt Christie','Joe Cooper','Tim Kunes','Steve Covington','Nathan Perkovich','Tim Crowder','Trevor Ludwig','Zach Bearson','Matthew Ford','Scott Mcculloch','Aaron Marvin','Michael Forney','Joe Charlebois','Craig Switzer','Rob Bellamy','Matt Duffy','Billy Ryan','Chad Painchaud','Brian Gifford','Matthew Glasser','Andrew Thomas','Matt Butcher','Spencer Dillon','Andrew Sarauer','Matt Siddall','Matt Clackson','Tyrell Mason','Philippe Paquet','Dave Macdonald','Doug Rogers','Paul Baier','Chris Zarb','Brian Day','Greg Beller','Will Engasser','Brennan Turner','Matt Generous','Jordan Fulton','Trevor Hendrikx','Luciano Aquino','Olivier Legault','Dmitri Megalinsky','Chris Auger','Alexandre Dulac-Lemelin','Matt Mcilvane','P.J. Fenton','Ned Lukacevic','Jordan Morrison','John Wessbecker','Myles Rumsey','Scott Todd','Pat Brosnihan','Josh Meyers','Tony Lucia','William Colbert','Roman Derlyuk','Alex Berry','Denis Istomin','Michael Gergen','Jordan Smith','Matt Mcknight','Jonathan Boutin','Martin Vagner','Brian Ihnacak','Travis Gawryletz','Lukas Vomela','Jonas Fiedler','Matt Greer','Maxim Semyonov','Mike Curry','Matt Schneider','Jan Zapletal','Jordan Foote','Andrei Mikhailishin','Nick Fugere','Evan Schafer','Roman Tomanek','R.J. Anderson','Martin Nolet','Maxime Frechette','Derek Reinhart','Michal Sersen','Steve Mcclellan','Valeri Klimov','John Carter','Justin Vienneau','Mitch Maunu','Mark Streit','Tim Brent','Chris Campoli','Masi Marjamaki','Clayton Stoner','Triston Grant','Danny Syvret','Alex Ovechkin','Evgeni Malkin','Cam Barker','Andrew Ladd','Blake Wheeler','Rostislav Olesz','Alexandre Picard','Ladislav Smid','Boris Valabik','Lauri Tukonen','Drew Stafford','Alexander Radulov','Petteri Nokelainen','Kyle Chipchura','Lauri Korpikoski','Travis Zajac','Wojtek Wolski','Lukas Kaspar','Andrej Meszaros','Kris Chucko','Rob Schremp','Jeff Schultz','Mark Fistric','Mike Green','Dave Bolland','Chris Bourque','Grant Lewis','Bryan Bickell','Michael Funk','Adam Pineault','Blake Comeau','Dane Byers','Enver Lisin','Raymond Sawada','David Booth','Victor Oreskovich','Nicklas Grossmann','Brandon Dubinsky','Alex Goligoski','David Krejci','Martins Karsums','Sami Lepisto','Nick Johnson','Adam Berti','Casey Borer','Brandon Prust','Andrej Sekera','Scott Lehman','Peter Olvecky','Peter Regin','Alexander Edler','Johan Franzen','Dustin Boyd','Tyler Kennedy','JT Wyman','Mike Lundin','Brett Carson','Ryan Jones','Liam Reddox','Wes O\'Neill','Kevin Porter','Alexander Nikulin','David Laliberte','Torrey Mitchell','Ryan Callahan','Kris Versteeg','Nikita Nikitin','Jake Dowell','Bryan Young','Janne Niskala','Steve Regier','Mikhail Grabovski','Steven Zalewski','Roman Wick','Mike Brown','Ben Walter','Adam Pardy','Scott Parse','Patrick Kaleta','Mike Santorelli','Roman Polak','Derek Peltier','Robbie Earl','Petri Kontiola','Andrew Gordon','Chad Kolarik','Mike Vernace','Mark Mancari','Troy Brouwer','Pierre-Luc Letourneau-Leblond','Tyler Eckford','Matt Hunwick','Brandon Yip','Aaron Gagnon','Mike Card','Gregory Stewart','Travis Morin','Daniel Winnik','Jakub Petruzalek','Janne Pesonen','Grant Clitsome','Kyle Wilson','Adam Cracknell','Jannik Hansen','Olivier Magnan','Mike Blunden','Mason Raymond','Mattias Ritola','Paul Stastny','Guillaume Latendresse','Dustin Kohn','Sidney Crosby','Bobby Ryan','Jack Johnson','Benoit Pouliot','Gilbert Brule','Jack Skille','Devin Setoguchi','Brian Lee','Luc Bourdon','Anze Kopitar','Marc Staal','Ryan O\'Marra','Martin Hanzal','Ryan Parent','Jakub Kindl','Kenndal McArdle','Matt Lashoff','Niclas Bergfors','T.J. Oshie','Andrew Cogliano','Matt Pelech','Joe Finley','Matt Niskanen','Steve Downie','Vladimir Mihalik','Brendan Mikkelson','James Neal','Ryan Stoa','Marc-Edouard Vlasic','Taylor Chorney','Scott Jackson','Petr Kalus','Michael Sauer','Justin Abdelkader','Adam McQuaid','Marc-Andre Cliche','Matt Kassian','Kris Letang','Brodie Dupont','Kris Russell','Evan Brophey','Rich Clune','Keith Yandle','Radek Smolenak','Perttu Lindgren','Teemu Laakso','Cody Franson','Vladimir Sobotka','Phil Oreskovic','Mikko Lehtonen','Mark Fraser','Marc-Andre Gragnani','T.J. Hensick','Oskars Bartulis','Cody Bass','Chris Butler','Chris VandeVelde','Ilya Zubov','Patrick Davis','Jonathan Sigalet','Jared Boll','Blair Jones','Tom Pyatt','Niklas Hjalmarsson','Jordan Lavallee-Smotherman','Ray Macias','Darren Helm','Brian Salcido','Nathan Gerbe','Tom Wandell','Derek Joslin','Cal O\'Reilly','Mark Fayne','Ryan Reaves','Matt Watkins','Justin Mercier','Nick Drazenovic','Brett Sutter','Tim Kennedy','Kris Fredheim','Andrey Zubarev','Matt D\'Agostini','Joe Vitale','Sergei Kostitsyn','Colin Greening','Mario Bliznak','Ryan Russell','Anton Stralman','Kyle Cumiskey','Chad Rau','Patric Hornqvist','Bryan Little','Michael Caruso','Brad Marchand','Nick Foligno','Mike Weber','Derek Dorsett','Kevin Quick','Mathieu Carle','Jon Matsumoto','Erik Johnson','Kyle Okposo','Trevor Lewis','Rhett Rakhshani','Arturs Kulda','Leo Komarov','Jamie McGinn','Ryan White','Eric Gryba','Milan Lucic','Jiri Tlusty','Kaspars Daugavins','Chris Stewart','Sergei Shirokov','Tomas Kana','Matt Beleskey','Ben Maxwell','Petteri Wirtanen','Oskar Osala','Ty Wishart','Cal Clutterbuck','Jeff Petry','Jonas Junland','David McIntyre','Claude Giroux','Jesse Joensuu','Theo Peckham','Peter Mueller','Jordan Staal','Patrik Berglund','James Sheppard','Viktor Stalberg','Carl Sneep','Tom Sestito','Derick Brassard','Michael Grabner','Phil Kessel','Andrew Bodnarchuk','Cory Emmerton','Korbinian Holzer','John McCarthy','Nicklas Backstrom','Michael Frolik','Brian Strait','Andreas Nodl','Jan Mursak','Jamie McBain','Artem Anisimov','Shawn Matthias','Nikolay Kulemin','Matthew Corrente','Ivan Vishnevskiy','Andrew MacDonald','Erik Condra','Chris Summers','Vladimir Zharkov','Benn Ferriero','Jonathan Toews','Alexander Vasyunov','Blake Geoffrion','Bobby Sanguinetti','Shane Sims','Jonathan Rheault','Mathieu Perreault'}
@attribute DraftAge numeric
@attribute Country {Sweden,Denmark,Russia,Finland,Canada,'Czech Rep.',USA,Switzerlan,Slovakia,Germany,France,Hungary,Belarus,Kazakhstan,Croatia,Italy,CHE,CAN,FIN,RUS,CZE,SVK,POL,SWE,LVA,DNK,DEU,SVN,JPN,BLR,EST,AUT}
@attribute country_group {EURO,CAN,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,R,L,C}
@attribute DraftYear numeric
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric
@attribute sum_7yr_TOI numeric
@attribute GP_greater_than_0 {no,yes}
@attribute three_classes {Good,Best,Better}

@data
507,'Johan Fransson',19,Sweden,EURO,74,198,D,2004,7,68,9,8,17,54,7,2,0,0,0,4,-1,?,?,no,Good
1255,'Fred Wikner',18,Sweden,EURO,73,198,R,2004,70,58,12,15,27,101,1,9,2,2,4,8,0,?,?,no,Good
1256,'John Wikner',18,Sweden,EURO,74,192,L,2004,?,31,6,3,9,22,0,9,0,0,0,6,0,?,?,no,Good
1269,'Johannes Salmonsson',18,Sweden,EURO,74,207,L,2004,20,44,4,14,18,16,6,?,?,?,?,?,?,?,?,no,Good
1288,'Patrik Hersley',19,Sweden,EURO,75,212,D,2005,?,47,9,16,25,116,1,3,2,1,3,6,0,?,?,no,Good
1290,'Richard Demen Willaume',18,Sweden,EURO,75,223,D,2004,73,61,11,9,20,70,1,12,1,3,4,10,0,?,?,no,Good
1299,'Christofer Lofberg',19,Sweden,EURO,75,205,C,2005,?,31,21,13,34,49,-1,?,?,?,?,?,?,?,?,no,Good
1715,'Fredrik Pettersson',18,Sweden,EURO,70,179,R,2005,?,53,16,19,35,66,-1,12,9,8,17,26,0,?,?,no,Good
1950,'Oscar Hedman',18,Sweden,EURO,72,212,D,2004,22,76,17,18,35,42,-7,16,3,6,9,6,0,?,?,no,Good
2018,'David Fredriksson',19,Sweden,EURO,76,238,L,2004,51,27,9,3,12,44,0,8,1,0,1,2,0,?,?,no,Good
2019,'Alexander Sundstrom',18,Sweden,EURO,72,201,C,2005,29,12,0,0,0,0,-2,?,?,?,?,?,?,?,?,no,Good
2034,'Anton Axelsson',18,Sweden,EURO,72,207,L,2004,144,35,7,11,18,32,0,10,2,3,5,2,0,?,?,no,Good
2046,'Johan Dahlberg',18,Sweden,EURO,74,203,L,2005,28,60,15,5,20,135,1,4,0,0,0,4,0,?,?,no,Good
2277,'Nils Backstrom',18,Sweden,EURO,72,201,D,2004,?,12,1,6,7,26,-10,?,?,?,?,?,?,?,?,no,Good
2495,'Fredrik Naslund',18,Sweden,EURO,77,209,L,2004,32,72,16,25,41,14,-6,3,0,1,1,4,0,?,?,no,Good
2613,'Morten Madsen',18,Denmark,EURO,75,209,C,2005,17,45,12,20,32,22,-6,12,10,9,19,6,0,?,?,no,Good
2620,'Emil Axelsson',18,Sweden,EURO,75,223,D,2004,47,61,5,0,5,109,-28,?,?,?,?,?,?,?,?,no,Good
2627,'Kirill Starkov',18,Denmark,EURO,72,209,C,2005,?,31,18,12,30,10,0,9,4,3,7,2,0,?,?,no,Good
3636,'Robin Figren',18,Sweden,EURO,71,187,R,2006,29,69,22,25,47,120,-3,9,6,2,8,6,0,?,?,no,Good
3679,'Alexander Hellstrom',19,Sweden,EURO,75,214,D,2006,113,54,2,4,6,81,3,6,0,3,3,4,0,?,?,no,Good
3696,'Tony Lagerstrom',18,Sweden,EURO,74,198,L,2006,28,74,34,33,67,105,-1,5,1,2,3,14,0,?,?,no,Good
3703,'Kim Johansson',18,Sweden,EURO,74,205,C,2006,86,71,6,15,21,73,-3,6,1,0,1,16,0,?,?,no,Good
3724,'Niclas Andersen',18,Sweden,EURO,73,207,D,2006,41,80,7,13,20,294,-3,2,0,0,0,10,0,?,?,no,Good
3778,'Dick Axelsson',19,Sweden,EURO,74,198,L,2006,?,51,36,17,53,167,27,?,?,?,?,?,?,?,?,no,Good
3790,'Jonas Ahnelov',19,Sweden,EURO,74,220,D,2006,10,48,4,11,15,92,1,7,2,4,6,22,0,?,?,no,Good
3841,'Anton Hedman',18,Sweden,EURO,75,214,L,2004,?,14,5,5,10,14,0,?,?,?,?,?,?,?,?,no,Good
3856,'Daniel Rahimi',19,Sweden,EURO,75,216,D,2006,214,51,4,11,15,100,0,6,3,2,5,37,0,?,?,no,Good
3900,'Per Johnsson',18,Sweden,EURO,73,181,D,2006,?,14,3,1,4,38,0,8,1,1,2,22,0,?,?,no,Good
4120,'Johan Ryno',19,Sweden,EURO,77,216,C,2005,?,35,21,18,39,14,19,?,?,?,?,?,?,?,?,no,Good
4126,'Vyacheslav Trukhno',18,Russia,EURO,73,203,C,2005,27,70,25,35,60,63,-4,?,?,?,?,?,?,?,?,no,Good
4130,'Pasi Salonen',19,Finland,EURO,71,194,L,2004,126,36,12,10,22,60,5,9,4,4,8,8,8,?,?,no,Good
4131,'Aki Seitsonen',18,Finland,EURO,74,192,C,2004,30,71,16,24,40,18,9,5,0,0,0,0,-1,?,?,no,Good
4223,'Miikka Tuomainen',18,Finland,EURO,75,225,L,2004,104,47,12,9,21,10,-2,?,?,?,?,?,?,?,?,no,Good
4224,'Janne Kolehmainen',19,Finland,EURO,75,218,L,2005,?,48,4,5,9,34,-8,?,?,?,?,?,?,?,?,no,Good
4283,'Marko Anttila',19,Finland,EURO,80,229,R,2004,?,34,30,30,60,56,0,?,?,?,?,?,?,?,?,no,Good
4284,'Valtteri Tenkanen',19,Finland,EURO,71,183,C,2004,62,37,4,6,10,4,-2,11,2,3,5,0,-2,?,?,no,Good
4418,'Risto Korhonen',19,Finland,EURO,75,201,D,2005,23,42,5,13,18,83,12,5,1,1,2,2,-7,?,?,no,Good
4568,'Dennis Persson',18,Sweden,EURO,73,187,D,2006,14,74,14,29,43,54,-3,?,?,?,?,?,?,?,?,no,Good
4575,'Viktor Gibbs Sjodin',18,Sweden,EURO,72,225,R,2006,136,52,16,9,25,95,-1,?,?,?,?,?,?,?,?,no,Good
6424,'Juho Mielonen',18,Finland,EURO,75,198,D,2005,27,45,4,10,14,36,16,9,0,1,1,6,0,?,?,no,Good
7410,'Timo Seppanen',19,Finland,EURO,72,194,D,2006,13,64,11,15,26,81,18,5,0,1,1,0,-2,?,?,no,Good
7452,'Joonas Lehtivuori',18,Finland,EURO,72,176,D,2006,32,69,11,25,36,56,12,9,1,4,5,8,0,?,?,no,Good
7537,'Tommi Leinonen',18,Finland,EURO,74,201,D,2005,?,43,9,11,20,20,-1,1,0,0,0,0,0,?,?,no,Good
8067,'Jonas Enlund',19,Finland,EURO,72,198,L,2006,44,41,25,19,44,14,23,?,?,?,?,?,?,?,?,no,Good
8392,'Jan-Mikael Juutilainen',18,Finland,EURO,71,183,C,2006,24,79,23,35,58,69,-1,10,6,7,13,4,0,?,?,no,Good
8393,'Robert Nyholm',18,Finland,EURO,73,196,R,2006,27,68,25,18,43,58,2,7,4,3,7,4,0,?,?,no,Good
8394,'Max Warn',18,Finland,EURO,74,207,L,2006,73,52,14,20,34,69,8,7,4,2,6,6,0,?,?,no,Good
8395,'Juuso Puustinen',18,Finland,EURO,73,196,R,2006,53,62,24,16,40,108,-2,5,0,0,0,0,-3,?,?,no,Good
8397,'Niko Snellman',18,Finland,EURO,74,212,L,2006,93,32,7,12,19,126,-5,9,2,5,7,68,0,?,?,no,Good
8418,'Peter Aston',20,Canada,CAN,73,205,D,2006,227,65,16,36,52,31,16,7,2,1,3,2,-5,?,?,no,Good
8640,'Marek Kvapil',20,'Czech Rep.',EURO,71,192,L,2005,?,75,35,47,82,22,8,?,?,?,?,?,?,?,?,no,Good
9196,'Dan Bertram',18,Canada,CAN,70,183,R,2005,36,44,13,8,21,66,1,?,?,?,?,?,?,?,?,no,Good
9200,'Sasha Pokulok',19,Canada,CAN,77,229,D,2005,39,26,3,7,10,33,0,?,?,?,?,?,?,?,?,no,Good
9211,'Nathan Davis',19,USA,USA,73,205,C,2005,87,38,14,11,25,30,0,?,?,?,?,?,?,?,?,no,Good
9213,'Geoff Paukovich',18,USA,USA,76,209,L,2004,80,17,4,2,6,39,-2,?,?,?,?,?,?,?,?,no,Good
9219,'Mark Mitera',19,USA,USA,75,209,D,2006,20,46,0,10,10,86,4,?,?,?,?,?,?,?,?,no,Good
9221,'Tom Fritsche',19,USA,USA,71,185,L,2005,93,42,11,34,45,38,0,?,?,?,?,?,?,?,?,no,Good
9228,'Petr Pohl',18,'Czech Rep.',EURO,71,190,R,2004,58,70,23,27,50,16,11,8,0,2,2,2,-1,?,?,no,Good
9229,'Jakub Sindel',18,'Czech Rep.',EURO,72,181,C,2004,15,88,24,26,50,38,9,13,1,1,2,2,1,?,?,no,Good
9232,'Tomas Kudelka',18,'Czech Rep.',EURO,75,205,D,2005,14,61,11,16,27,70,17,?,?,?,?,?,?,?,?,no,Good
9233,'Michal Birner',18,'Czech Rep.',EURO,72,201,L,2004,68,79,33,45,78,128,11,2,0,1,1,4,-1,?,?,no,Good
9234,'Karel Hromas',18,'Czech Rep.',EURO,73,220,L,2004,45,80,16,16,32,30,9,2,0,0,0,0,0,?,?,no,Good
9235,'Zdenek Bahensky',18,'Czech Rep.',EURO,74,190,R,2004,24,75,19,24,43,224,14,2,1,1,2,14,2,?,?,no,Good
9242,'Julien Sprunger',18,Switzerlan,EURO,76,198,R,2004,27,60,16,13,29,38,7,4,0,0,0,4,0,?,?,no,Good
9245,'Juraj Gracik',18,Slovakia,EURO,75,194,L,2004,26,34,18,8,26,12,1,?,?,?,?,?,?,?,?,no,Good
9247,'Stanislav Lascek',19,Slovakia,EURO,73,194,R,2005,?,59,19,73,92,46,1,17,4,18,22,26,-5,?,?,no,Good
9248,'Marek Zagrapan',19,Slovakia,EURO,72,205,C,2005,23,63,33,52,85,56,7,17,11,6,17,28,2,?,?,no,Good
9250,'Juraj Mikus',18,Slovakia,EURO,74,201,C,2005,24,85,24,38,62,70,-3,6,5,3,8,10,0,?,?,no,Good
9252,'Ladislav Scurko',18,Slovakia,EURO,73,216,C,2004,38,75,23,32,55,124,6,8,6,3,9,10,0,?,?,no,Good
9254,'Kirill Lyamin',18,Russia,EURO,74,207,D,2004,17,47,2,5,7,58,1,?,?,?,?,?,?,?,?,no,Good
9259,'Roman Voloshenko',18,Russia,EURO,73,207,L,2004,19,56,15,15,30,60,5,4,1,1,2,4,2,?,?,no,Good
9260,'Mikhail Yunkov',18,Russia,EURO,72,207,C,2004,18,54,9,15,24,26,9,4,0,1,1,0,2,?,?,no,Good
9261,'Vyacheslav Buravchikov',18,Russia,EURO,74,203,D,2005,6,47,13,11,23,40,8,3,0,0,0,2,0,?,?,no,Good
9262,'Denis Bodrov',20,Russia,EURO,73,205,D,2006,65,41,2,5,7,44,-7,8,0,0,0,8,-1,?,?,no,Good
9263,'Nikolai Lemtyugov',19,Russia,EURO,72,212,R,2005,?,11,1,1,2,16,1,?,?,?,?,?,?,?,?,no,Good
9273,'Constantin Braun',18,Germany,EURO,75,196,D,2006,132,33,15,13,28,36,-3,1,1,0,1,6,0,?,?,no,Good
9282,'Martin Latal',18,'Czech Rep.',EURO,71,185,R,2006,21,62,17,12,29,105,-3,7,4,1,5,8,1,?,?,no,Good
9286,'David Kveton',18,'Czech Rep.',EURO,71,185,L,2006,12,82,15,22,37,26,-29,6,5,1,6,18,0,?,?,no,Good
9292,'Tomas Marcinko',18,Slovakia,EURO,76,212,C,2006,26,64,31,25,56,62,48,12,2,3,5,10,2,?,?,no,Good
9297,'Yuri Alexandrov',18,Russia,EURO,73,190,D,2006,4,45,2,2,4,32,7,2,0,0,0,2,0,?,?,no,Good
9298,'Kirill Tulupov',18,Russia,EURO,75,227,D,2006,?,14,1,3,4,22,7,3,0,2,2,8,-1,?,?,no,Good
9299,'Andrei Popov',18,Russia,EURO,74,214,R,2006,9,45,12,14,26,34,13,5,2,0,2,2,-1,?,?,no,Good
9310,'Nigel Williams',18,USA,USA,76,227,D,2006,13,65,6,10,16,81,2,?,?,?,?,?,?,?,?,no,Good
9316,'Ryan Flynn',18,USA,USA,75,209,R,2006,77,65,18,18,36,81,2,?,?,?,?,?,?,?,?,no,Good
9318,'Kevin Montgomery',18,USA,USA,73,190,D,2006,45,65,6,16,22,76,5,?,?,?,?,?,?,?,?,no,Good
9321,'Mike Carman',18,USA,USA,72,181,C,2006,63,83,31,47,78,136,7,?,?,?,?,?,?,?,?,no,Good
9323,'Mike Ratchuk',18,USA,USA,70,190,D,2006,81,61,12,21,33,60,4,?,?,?,?,?,?,?,?,no,Good
9335,'Stefan Chaput',18,Canada,CAN,72,192,C,2006,113,76,19,30,49,46,12,6,0,1,1,4,-2,?,?,no,Good
