id,PlayerName,DraftAge,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,GP_greater_than_0,sum_wk_xk,class_0_prob,LeafNode
1256,"John Wikner",18,EURO,74,192,L,2004,284,232,31,6,3,9,22,0,9,0,0,0,6,0,0,no,4.300052000000001,0.013386231044213753,2
2019,"Alexander Sundstrom",18,EURO,72,201,C,2005,218,29,12,0,0,0,0,-2,0,0,0,0,0,0,0,no,0.6078140000000005,0.3525580151902245,2
2277,"Nils Backstrom",18,EURO,72,201,D,2004,290,232,12,1,6,7,26,-10,0,0,0,0,0,0,0,no,2.8122000000000007,0.05666846031898292,2
2620,"Emil Axelsson",18,EURO,75,223,D,2004,210,47,61,5,0,5,109,-28,0,0,0,0,0,0,0,no,0.6845560000000006,0.3352452103562972,2
3679,"Alexander Hellstrom",19,EURO,75,214,D,2006,184,113,54,2,4,6,81,3,6,0,3,3,4,0,0,no,0.9956180000000012,0.2698038466859447,2
3841,"Anton Hedman",18,EURO,75,214,L,2004,255,232,14,5,5,10,14,0,0,0,0,0,0,0,0,no,2.687241000000001,0.06373044674496055,2
3900,"Per Johnsson",18,EURO,73,181,D,2006,209,236,14,3,1,4,38,0,8,1,1,2,22,0,0,no,3.71661,0.023739016301644437,2
4224,"Janne Kolehmainen",19,EURO,75,218,L,2005,115,250,48,4,5,9,34,-8,0,0,0,0,0,0,0,no,2.2663410000000006,0.09394921399892014,2
4284,"Valtteri Tenkanen",19,EURO,71,183,C,2004,264,62,37,4,6,10,4,-2,11,2,3,5,0,-2,0,no,0.7899130000000005,0.3121873503094571,2
6870,"Stefan Warg",18,EURO,75,220,D,2008,143,203,34,2,6,8,74,0,3,0,0,0,14,0,0,no,2.0470919999999997,0.11434654844553135,2
9200,"Sasha Pokulok",19,CAN,77,229,D,2005,14,39,26,3,7,10,33,0,0,0,0,0,0,0,0,no,0.5225550000000001,0.3722549835825896,2
9213,"Geoff Paukovich",18,USA,76,209,L,2004,57,80,17,4,2,6,39,-2,0,0,0,0,0,0,0,no,1.7429140000000003,0.14894318049663877,2
9219,"Mark Mitera",19,USA,75,209,D,2006,19,20,46,0,10,10,86,4,0,0,0,0,0,0,0,no,0.4440010000000014,0.39078802507809884,2
9254,"Kirill Lyamin",18,EURO,74,207,D,2004,58,17,47,2,5,7,58,1,0,0,0,0,0,0,0,no,0.4607020000000005,0.38681930316579466,2
9262,"Denis Bodrov",20,EURO,73,205,D,2006,55,65,41,2,5,7,44,-7,8,0,0,0,8,-1,0,no,2.257205000000001,0.09472978576903844,2
9263,"Nikolai Lemtyugov",19,EURO,72,212,R,2005,219,250,11,1,1,2,16,1,0,0,0,0,0,0,0,no,1.8318390000000004,0.138019341659839,2
9298,"Kirill Tulupov",18,EURO,75,227,D,2006,67,236,14,1,3,4,22,7,3,0,2,2,8,-1,0,no,1.6846640000000008,0.15647886566630267,2
9417,"Dusty Collins",19,USA,75,212,C,2004,163,232,36,1,6,7,30,-2,0,0,0,0,0,0,0,no,1.4786020000000002,0.1856386718014845,2
9420,"Nate Hagemo",19,USA,71,190,D,2005,58,58,37,2,8,10,42,-3,0,0,0,0,0,0,0,no,0.8485050000000003,0.2997465618991224,2
9427,"Matt Auffrey",18,USA,74,203,R,2004,172,152,16,3,5,8,16,1,0,0,0,0,0,0,0,no,0.84618,0.30023480315229023,2
9483,"Andy Rogers",18,CAN,77,207,D,2004,30,24,71,2,5,7,115,10,7,0,0,0,11,-2,0,no,0.5207860000000006,0.3726684589741894,2
9603,"Dmitri Vorobyov",19,EURO,74,243,D,2004,157,29,33,2,1,3,16,3,4,0,0,0,4,0,0,no,0.7810490000000008,0.3140938465929318,2
9619,"Jaroslav Mrazek",18,EURO,75,220,D,2004,179,85,55,3,7,10,52,5,1,0,0,0,0,0,0,no,0.6290740000000002,0.34772053513356316,2
9661,"Ondrej Otcenas",18,EURO,73,201,C,2005,123,250,6,4,1,5,10,2,0,0,0,0,0,0,0,no,2.3980620000000004,0.08332059811239434,2
10612,"Philip Gogulla",18,EURO,74,192,L,2005,48,250,56,2,3,5,18,-5,9,0,2,2,29,0,0,no,2.2463379999999997,0.09566580990774254,2
10676,"John De Gray",18,CAN,76,216,D,2006,83,68,68,0,10,10,103,10,11,0,0,0,8,-6,0,no,0.4354220000000005,0.3928323540071959,2
11237,"Ryan Pottruff",18,CAN,72,225,D,2004,202,211,51,3,5,8,48,9,15,0,0,0,6,0,0,no,3.319321,0.03491428039873214,2
11256,"John Seymour",18,CAN,75,176,L,2005,226,250,63,1,4,5,64,0,6,0,0,0,0,0,0,no,3.7050050000000003,0.02400945939992357,2
11308,"Max Gordichuk",18,CAN,78,216,D,2004,177,70,70,0,8,8,54,8,5,0,1,1,6,1,0,no,0.5983310000000004,0.3547256274310836,2
11413,"Nick Sucharski",19,CAN,73,176,L,2006,136,140,36,2,5,7,18,-2,0,0,0,0,0,0,0,no,2.0105989999999996,0.1180945787353631,2
11474,"Logan Stephenson",18,CAN,75,205,D,2004,35,35,69,3,8,11,112,2,11,1,1,2,10,-2,0,no,0.7443800000000005,0.32204710182555074,2
11586,"Riley Emmerson",19,CAN,80,249,L,2005,199,250,40,1,0,1,63,-4,0,0,0,0,0,0,0,no,2.2725590000000016,0.09342125538581537,2
11601,"Aaron Boogaard",18,CAN,75,220,R,2004,175,232,35,3,2,5,57,1,6,0,0,0,8,0,0,no,1.6538559999999998,0.16058848093858405,2
11634,"Jason Lynch",18,CAN,76,214,D,2005,166,195,67,1,4,5,78,-13,0,0,0,0,0,0,0,no,1.3153040000000014,0.21160064649841923,2
11640,"Jesse Dudas",18,EURO,74,216,D,2006,159,53,24,0,11,11,27,2,0,0,0,0,0,0,0,no,0.7563840000000002,0.3194318532602477,2
11642,"Evan Fuller",18,CAN,74,192,C,2006,197,236,56,2,5,7,87,-6,5,0,0,0,7,-1,0,no,1.786221,0.14353666513748256,2
11646,"John Flatters",18,CAN,73,174,D,2005,174,170,53,0,2,2,117,-13,7,0,0,0,2,-2,0,no,3.144159,0.041322047786485315,2
11650,"Mike Gauthier",18,CAN,75,185,D,2005,169,86,40,2,1,3,93,-10,13,0,0,0,18,-2,0,no,3.187599,0.03963507058017424,2
11655,"Cameron Cepek",18,USA,74,181,D,2006,199,83,21,2,8,10,71,5,12,0,1,1,10,-8,0,no,1.6581429999999995,0.16001143462626644,2
11670,"Gord Baldwin",18,CAN,77,198,D,2005,69,241,66,3,8,11,73,13,13,2,2,4,8,2,0,no,3.4584819999999996,0.030516912258707618,2
11920,"Luke Beaverson",20,USA,76,207,D,2004,283,232,57,1,6,7,141,-8,0,0,0,0,0,0,0,no,2.5772990000000005,0.07061378526212736,2
12131,"Kevin Cormier",18,CAN,75,236,L,2004,168,232,43,3,2,5,240,1,0,0,0,0,0,0,0,no,2.016432000000001,0.11748843399729021,2
12191,"Sergei Kolosov",18,EURO,76,203,D,2004,151,82,60,2,7,9,66,-3,9,1,2,3,10,0,0,no,1.4801419999999996,0.18540597199006614,2
12251,"Andrei Plekhanov",18,EURO,74,201,D,2004,96,111,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2.4964310000000007,0.07610875923694188,2
12258,"Kyell Henegan",19,CAN,75,205,D,2006,208,192,68,3,4,7,200,11,10,0,1,1,38,0,0,no,1.6347980000000017,0.1631741430290032,2
12261,"Chris Frank",20,USA,73,229,D,2006,188,236,38,2,2,4,127,-19,0,0,0,0,0,0,0,no,2.3415870000000005,0.08773680970468638,2
12267,"Simon Danis-Pepin",18,CAN,79,207,D,2006,61,61,25,0,5,5,14,4,0,0,0,0,0,0,0,no,1.4095050000000005,0.19631214260004082,2
12281,"David Meckler",19,USA,72,183,C,2006,134,205,31,7,3,10,28,-12,0,0,0,0,0,0,0,no,1.7533850000000009,0.14762075905405905,2
12300,"Denis Kulyash",21,EURO,75,249,D,2004,243,232,19,3,1,4,40,0,0,0,0,0,0,0,0,no,2.403331000000001,0.08291904351154247,2
12426,"Myles Stoesz",18,CAN,74,214,L,2005,207,250,67,1,8,9,238,1,0,0,0,0,0,0,0,no,1.8122540000000007,0.14036593004468428,2
12429,"Ryan Mcginnis",18,USA,73,196,D,2005,184,168,66,0,6,6,93,1,4,0,1,1,2,0,0,no,1.5259040000000004,0.17859377010124416,2
12459,"Joe Lavin",18,USA,73,196,D,2007,126,165,41,2,8,10,40,0,6,0,2,2,4,0,0,no,1.6674109999999995,0.158769665085512,2
12487,"Jon Gleed",20,CAN,74,212,D,2004,212,232,28,3,3,6,18,0,0,0,0,0,0,0,0,no,2.2529030000000008,0.0950993520697095,2
12519,"Garrett Klotz",19,CAN,77,234,L,2007,66,210,63,2,2,4,107,-6,0,0,0,0,0,0,0,no,1.4782930000000003,0.18568539001840856,2
12520,"Jake Hansen",18,USA,73,192,R,2007,68,65,15,4,4,8,14,-1,7,0,2,2,8,1,0,no,0.7991170000000006,0.3102144328119752,2
12535,"Travis Erstad",19,USA,75,181,R,2007,100,97,28,22,0,0,4,-7,3,1,0,1,0,-3,0,no,1.2062850000000003,0.2303590373669818,2
12653,"Julian Walker",20,EURO,74,207,C,2006,162,236,45,4,2,6,47,-1,5,1,0,1,6,0,0,no,2.4859969999999993,0.07684569131205346,2
13480,"Mitch Carefoot",19,CAN,73,209,C,2004,237,92,31,6,1,7,14,0,0,0,0,0,0,0,0,no,0.13322500000000104,0.4667429251647857,2
13615,"Bret Nasby",18,CAN,75,187,D,2004,152,79,56,0,7,7,41,-5,7,0,3,3,6,-1,0,no,0.5681670000000008,0.36165988752390305,2
13643,"Viktor Dovgan",18,EURO,74,201,D,2005,209,250,0,0,0,0,0,0,0,0,0,0,0,0,0,no,3.5608930000000005,0.02762842167313018,2
13646,"Gennadi Stolyarov",18,EURO,76,209,L,2004,257,31,24,3,1,4,4,-2,0,0,0,0,0,0,0,no,1.3682260000000006,0.20290661402937943,2
13667,"Michael Neal",18,CAN,74,187,L,2007,149,153,52,4,4,8,25,-6,15,0,1,1,6,-1,0,no,3.5530700000000004,0.027839365726779013,2
13929,"Ryan Molle",18,CAN,74,207,D,2007,207,210,61,1,4,5,52,-15,6,1,0,1,8,0,0,no,2.2439829999999996,0.0958697441478164,2
14398,"Chris Hickey",18,USA,73,185,C,2006,192,236,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2.7513129999999997,0.06001253968211764,2
14460,"J.D. Corbin",19,USA,70,185,L,2004,249,232,39,3,6,9,18,0,0,0,0,0,0,0,0,no,2.1535300000000004,0.10400181839111773,2
14564,"Joe Cooper",19,CAN,72,201,R,2004,219,195,34,1,0,1,66,-6,0,0,0,0,0,0,0,no,1.019035000000001,0.26521541345233657,2
14856,"Nathan Perkovich",19,EURO,77,216,R,2004,250,232,35,1,7,8,23,-7,4,1,0,1,0,-2,0,no,1.8399490000000007,0.13705732436713378,2
15034,"Michael Ward",18,CAN,74,181,D,2007,197,156,58,0,7,7,39,7,11,0,1,1,16,1,0,no,2.6581810000000003,0.0654865647775914,2
15044,"Andrew Thomas",20,USA,74,220,D,2005,109,80,42,2,5,7,78,0,0,0,0,0,0,0,0,no,0.9132830000000003,0.2863285039549433,2
15046,"Spencer Dillon",19,USA,75,205,D,2004,267,232,42,0,7,7,160,0,0,0,0,0,0,0,0,no,2.672125000000001,0.06463837164785424,2
15055,"Philippe Paquet",18,CAN,75,214,D,2005,229,83,26,1,4,5,10,0,0,0,0,0,0,0,0,no,0.9244730000000012,0.2840473670567396,2
15063,"Dave Macdonald",19,CAN,75,214,D,2004,225,119,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2.115377000000001,0.10761121733587736,2
15065,"Doug Rogers",18,USA,73,196,D,2006,119,110,2,0,1,1,2,0,0,0,0,0,0,0,0,no,2.1919170000000006,0.10047869712530895,2
15066,"Paul Baier",19,USA,75,212,D,2004,95,89,23,6,4,10,22,0,0,0,0,0,0,0,0,no,1.3223200000000013,0.21043256489444512,2
15596,"Olivier Legault",19,CAN,77,238,L,2005,93,224,55,1,3,4,131,-2,7,0,0,0,8,0,0,no,2.7564020000000005,0.05972610589717355,2
17496,"Sean Lorenz",18,USA,73,207,D,2008,115,203,64,4,5,9,24,9,0,0,0,0,0,0,0,no,0.8934890000000006,0.2903903454135888,2
18004,"Myles Rumsey",19,CAN,74,203,D,2005,221,156,57,2,4,6,102,-14,0,0,0,0,0,0,0,no,1.4800140000000002,0.1854253046850145,2
18005,"Scott Todd",19,CAN,76,214,D,2005,213,250,54,0,3,3,155,-6,10,0,2,2,25,-1,0,no,2.3497210000000015,0.08708795140065033,2
18008,"Tony Lucia",18,USA,72,174,L,2005,193,250,11,1,0,1,0,2,0,0,0,0,0,0,0,no,3.529308000000001,0.028489734666181977,2
18010,"Roman Derlyuk",19,EURO,75,198,D,2005,164,250,51,0,3,3,74,-11,0,0,0,0,0,0,0,no,2.9632140000000002,0.04911568386141004,2
18021,"Lukas Vomela",19,EURO,75,192,D,2004,248,44,36,1,8,9,16,-6,0,0,0,0,0,0,0,no,1.3996880000000012,0.1978656257973165,2
18024,"Maxim Semyonov",20,EURO,72,181,D,2004,220,232,63,2,6,8,79,9,6,0,0,0,0,1,0,no,3.760249,0.02274840730653927,2
18027,"Jan Zapletal",18,EURO,73,183,D,2004,188,55,51,2,4,6,26,-2,4,0,0,0,0,0,0,no,1.860901,0.1345980676289764,2
18029,"Andrei Mikhailishin",18,EURO,76,220,D,2004,155,35,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1.7041720000000002,0.15392116305804676,2
18031,"Evan Schafer",19,CAN,74,220,D,2004,105,56,71,3,6,9,190,-6,6,0,0,0,14,0,0,no,0.6966120000000005,0.33256381859920076,2
18748,"Austin Smith",19,USA,71,181,R,2007,128,210,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2.220429,0.09793089971190595,2
19045,"Mathieu Brodeur",18,CAN,78,216,D,2008,76,95,69,1,6,7,27,-1,11,0,0,0,6,-2,0,no,1.806146000000001,0.14110456191485274,2
19061,"Stephen Johnston",18,CAN,73,174,L,2008,181,186,56,2,7,9,12,0,21,5,2,7,6,3,0,no,5.202723,0.005471461656836548,2
19228,"Mitch Gaulton",18,CAN,72,185,D,2008,171,203,20,2,5,7,19,-10,0,0,0,0,0,0,0,no,2.3734929999999994,0.08521644918914142,2
19229,"Braden Birch",19,CAN,72,190,D,2008,179,203,32,1,6,7,21,0,19,0,2,2,4,0,0,no,4.745172,0.00861863986421957,2
19232,"Jeff Foss",20,USA,74,201,D,2008,166,203,38,1,3,4,28,-5,0,0,0,0,0,0,0,no,2.399514000000001,0.08320976393178191,2
19377,"Maxime Frechette",18,CAN,77,214,D,2006,142,223,13,0,0,0,24,-2,0,0,0,0,0,0,0,no,2.809012,0.056839122759863185,2
19378,"Derek Reinhart",18,CAN,74,209,D,2005,177,250,67,2,9,11,198,-22,0,0,0,0,0,0,0,no,1.8772550000000003,0.1327044881821529,2
41102,"Steve Mcclellan",19,USA,73,185,D,2004,281,181,0,0,0,0,0,0,0,0,0,0,0,0,0,no,3.2331790000000002,0.037936052818155604,2
41103,"Valeri Klimov",18,EURO,75,227,D,2004,282,50,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1.5250490000000008,0.1787192313909073,2
51401,"Justin Vienneau",18,CAN,76,216,D,2004,198,139,53,0,7,7,129,4,11,0,1,1,19,7,0,no,3.5722020000000003,0.027326221934767796,2
8471259,"Adam Pineault",18,USA,73,201,R,2004,46,25,30,4,4,8,32,0,0,0,0,0,0,0,3,yes,-0.4539019999999991,0.6115665678908786,2
8471269,"Nicklas Grossmann",19,EURO,76,230,D,2004,56,58,34,1,2,3,32,0,2,0,0,0,0,0,281,yes,1.387194000000001,0.19985609662720877,2
8471282,"Casey Borer",19,USA,74,205,D,2004,69,52,31,0,8,8,18,0,0,0,0,0,0,0,16,yes,0.9009410000000009,0.2888571599781996,2
8471348,"Nikita Nikitin",18,EURO,76,217,D,2004,136,46,34,3,8,11,22,0,0,0,0,0,0,0,41,yes,0.7297320000000007,0.3252535409278882,2
8471358,"Bryan Young",18,CAN,73,191,D,2004,146,57,60,0,8,8,63,-18,0,0,0,0,0,0,17,yes,0.4722309999999999,0.3840883319438926,2
8471368,"Roman Wick",19,EURO,74,208,R,2004,156,36,33,8,2,10,12,0,0,0,0,0,0,0,7,yes,-0.2271109999999995,0.5565349553570635,2
8471428,"Pierre-Luc Letourneau-Leblond",19,CAN,73,218,R,2004,216,232,62,2,3,5,198,-9,4,0,0,0,6,0,37,yes,1.2351060000000005,0.2252890059561542,2
8471457,"Gregory Stewart",18,CAN,74,202,L,2004,246,232,58,4,6,10,76,0,0,0,0,0,0,0,26,yes,1.6236379999999992,0.16470375643198382,2
8471700,"Matt Pelech",18,CAN,76,230,R,2005,26,41,31,1,5,6,74,-4,0,0,0,0,0,0,5,yes,-0.6396869999999991,0.6546827031018638,2
